"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery","","","","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"C1","1","33nF","","","","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C2,C9,C16","3","47nF","","","","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C3,C6,C10,C12,C17,C19","6","330pF","","","","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C4,C11,C18,C26,C27,C29","6","0.1uF","","","","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C5,C13,C20","3","100nF","","","","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C7,C14,C21","3","1nF","","","","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C8,C15","2","10nF","","","","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C22","1","2.2nf","","","","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C23,C24","2","2.2nF","","","","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"L1","1","0.7mH","","","","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"L3,L4","2","2mH","","","","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R1,R2","2","10K","","","","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R3,R5,R8,R10,R13,R15","6","750","","","","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R4,R6,R9,R11,R14,R16","6","6.8K","","","","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R7,R12,R17","3","2.2K","","","","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"SW1","1","SW_SPDT","","","","Library:EG1218",""
"U1","1","nice_nano","","","","nice nano:nice_nano",""
"U2","1","MPU-6500","","","","Library:MPU-6500","https://product.tdk.com/system/files/dam/doc/product/sensor/mortion-inertial/imu/data_sheet/mpu-6500-datasheet2.pdf"
"U3","1","QMC5883P","","","","Library:QMC5883P","https://www.qstcorp.com/upload/pdf/202512/13-52-19%20QMC5883P%20Datasheet%20Rev.E.pdf"
"U4,U5","2","MCP6004","","","","Library:MCP6004","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf"
"U6","1","74HC4051","","","","Library:74HC4051","http://www.ti.com/lit/ds/symlink/cd74hc4051.pdf"
