 X: 0.24944010 | Y: 0.58363646 | Z: 0.75122917
 X: 0.19673133 | Y: 0.44236714 | Z: 0.23317611
 X: 0.19090036 | Y: 0.43447685 | Z: 0.22205767
 X: 0.18530375 | Y: 0.43098792 | Z: 0.21575980
 X: 0.19621100 | Y: 0.43779248 | Z: 0.22854629
 X: 0.18514362 | Y: 0.42433450 | Z: 0.20898622
 X: 0.19859535 | Y: 0.44339231 | Z: 0.23663685
 X: 0.18995906 | Y: 0.42930913 | Z: 0.21502458
 X: 0.19121388 | Y: 0.43729562 | Z: 0.22524609
 X: 0.18805078 | Y: 0.42031723 | Z: 0.20612718
 X: 0.19411038 | Y: 0.43584123 | Z: 0.22661115
 X: 0.19249657 | Y: 0.43078554 | Z: 0.22043094
 X: 0.19113539 | Y: 0.42580119 | Z: 0.21394676
 X: 0.21374750 | Y: 0.49175027 | Z: 0.30437475
 X: 0.19585806 | Y: 0.43936709 | Z: 0.23053102
 X: 0.19166808 | Y: 0.43598369 | Z: 0.22532462
 X: 0.19451213 | Y: 0.43722692 | Z: 0.22668667
 X: 0.18735957 | Y: 0.42790958 | Z: 0.21518840
 X: 0.19518211 | Y: 0.44192517 | Z: 0.23201853
 X: 0.19402647 | Y: 0.44197866 | Z: 0.23113617
 X: 0.25174889 | Y: 0.57916462 | Z: 0.77748597
 X: 0.25323415 | Y: 0.57914382 | Z: 0.77321666
 X: 0.18711832 | Y: 0.42036280 | Z: 0.20664041
 X: 0.19325607 | Y: 0.44058704 | Z: 0.23304723
 X: 0.19049349 | Y: 0.43367642 | Z: 0.22131617
 X: 0.19156824 | Y: 0.43884510 | Z: 0.22687325
 X: 0.19607215 | Y: 0.44711748 | Z: 0.23690821
 X: 0.19158319 | Y: 0.43231133 | Z: 0.22129595
 X: 0.22601247 | Y: 0.52234018 | Z: 0.36199290
 X: 0.18793030 | Y: 0.43409088 | Z: 0.22126614
 X: 0.19361173 | Y: 0.43930745 | Z: 0.22766711
 X: 0.18829349 | Y: 0.43195030 | Z: 0.21834388
 X: 0.18818821 | Y: 0.43590629 | Z: 0.22306667
 X: 0.18692294 | Y: 0.43559083 | Z: 0.21934624
 X: 0.19064935 | Y: 0.43278915 | Z: 0.21954393
 X: 0.24713345 | Y: 0.57605457 | Z: 0.73077917
 X: 0.25305831 | Y: 0.58395630 | Z: 0.68551028
 X: 0.18956161 | Y: 0.42972293 | Z: 0.21658966
 X: 0.19076701 | Y: 0.43869218 | Z: 0.22666088
 X: 0.19996478 | Y: 0.45247278 | Z: 0.24628341
 X: 0.18852788 | Y: 0.43104810 | Z: 0.21719754
 X: 0.19786042 | Y: 0.44666660 | Z: 0.23953085
 X: 0.19165440 | Y: 0.43417221 | Z: 0.22371203
 X: 0.18368386 | Y: 0.40611872 | Z: 0.19053236
 X: 0.18774705 | Y: 0.42586899 | Z: 0.21196036
 X: 0.19153520 | Y: 0.43382481 | Z: 0.22029567
 X: 0.19210245 | Y: 0.44247892 | Z: 0.23200427
 X: 0.19216017 | Y: 0.43473375 | Z: 0.22297525
 X: 0.19308440 | Y: 0.42705202 | Z: 0.21682900
 X: 0.18979609 | Y: 0.43265039 | Z: 0.22010559
 X: 0.20273735 | Y: 0.45953196 | Z: 0.25610793
 X: 0.19149426 | Y: 0.43468657 | Z: 0.22167087
 X: 0.19151498 | Y: 0.43233734 | Z: 0.21946862
 X: 0.19236791 | Y: 0.43653750 | Z: 0.22430263
 X: 0.18558216 | Y: 0.43309861 | Z: 0.21619840
 X: 0.19183773 | Y: 0.43458089 | Z: 0.22273529
 X: 0.25045782 | Y: 0.58352268 | Z: 0.69040096
 X: 0.25276950 | Y: 0.58807915 | Z: 0.68656850
 X: 0.19566941 | Y: 0.44570160 | Z: 0.23500049
 X: 0.19192800 | Y: 0.43470109 | Z: 0.22134197
 X: 0.19140479 | Y: 0.43276095 | Z: 0.21987815
 X: 0.19224519 | Y: 0.43935829 | Z: 0.23086317
 X: 0.19261786 | Y: 0.43745497 | Z: 0.22620772
 X: 0.19421282 | Y: 0.43930775 | Z: 0.23174286
 X: 0.18316190 | Y: 0.40764040 | Z: 0.19265965
 X: 0.19084577 | Y: 0.43379486 | Z: 0.22086045
 X: 0.19196896 | Y: 0.43185785 | Z: 0.21990968
 X: 0.19281754 | Y: 0.43321216 | Z: 0.22036694
 X: 0.19494571 | Y: 0.43573454 | Z: 0.22536965
 X: 0.19325908 | Y: 0.43697083 | Z: 0.22751515
 X: 0.19352148 | Y: 0.43257362 | Z: 0.22210214
 X: 0.19063176 | Y: 0.43163455 | Z: 0.21983562
 X: 0.25242180 | Y: 0.58055311 | Z: 0.68208367
 X: 0.19095340 | Y: 0.43042904 | Z: 0.21878679
 X: 0.19102973 | Y: 0.43514854 | Z: 0.22229703
 X: 0.18802989 | Y: 0.42284408 | Z: 0.20653142
 X: 0.19397825 | Y: 0.43671536 | Z: 0.22675291
 X: 0.19622542 | Y: 0.43935919 | Z: 0.22994855
 X: 0.19319350 | Y: 0.43126500 | Z: 0.22214836
 X: 0.18077506 | Y: 0.40250829 | Z: 0.18652296
 X: 0.18739249 | Y: 0.42614880 | Z: 0.21187469
 X: 0.19520983 | Y: 0.43130127 | Z: 0.22136103
 X: 0.19030693 | Y: 0.43689755 | Z: 0.22469962
 X: 0.18896081 | Y: 0.43111828 | Z: 0.21734534
 X: 0.18904020 | Y: 0.44499737 | Z: 0.23280486
 X: 0.18934090 | Y: 0.44021153 | Z: 0.22615597
 X: 0.18332763 | Y: 0.42618364 | Z: 0.20913842
 X: 0.24658874 | Y: 0.57406271 | Z: 0.79017901
 X: 0.18507259 | Y: 0.42494816 | Z: 0.20952256
 X: 0.19096997 | Y: 0.43442619 | Z: 0.22042733
 X: 0.18756303 | Y: 0.43092176 | Z: 0.21708900
 X: 0.19125767 | Y: 0.43463212 | Z: 0.22242497
 X: 0.19440244 | Y: 0.43996146 | Z: 0.22795983
 X: 0.19457026 | Y: 0.43801367 | Z: 0.22757597
 X: 0.21809828 | Y: 0.49506772 | Z: 0.31259891
 X: 0.19669527 | Y: 0.44847161 | Z: 0.23858877
 X: 0.19228224 | Y: 0.43396375 | Z: 0.22349998
 X: 0.18987319 | Y: 0.42854786 | Z: 0.21564300
 X: 0.19288102 | Y: 0.43801060 | Z: 0.22579725
 X: 0.24869968 | Y: 0.57842654 | Z: 0.77925944
 X: 0.25200015 | Y: 0.57508087 | Z: 0.78147829
 X: 0.19147927 | Y: 0.43885785 | Z: 0.22580384
 X: 0.19799972 | Y: 0.43985403 | Z: 0.23164995
 X: 0.19329272 | Y: 0.43645158 | Z: 0.22360542
 X: 0.19468598 | Y: 0.43339097 | Z: 0.22322686
 X: 0.19562750 | Y: 0.43409795 | Z: 0.22283742
 X: 0.19225977 | Y: 0.42778713 | Z: 0.21738361
 X: 0.20994063 | Y: 0.46394372 | Z: 0.26391357
 X: 0.20007578 | Y: 0.44250029 | Z: 0.23622485
 X: 0.19280334 | Y: 0.43847090 | Z: 0.22597532
 X: 0.19652060 | Y: 0.44008377 | Z: 0.22964303
 X: 0.18990898 | Y: 0.42907697 | Z: 0.21687225
 X: 0.18825480 | Y: 0.42222232 | Z: 0.20835952
 X: 0.19390827 | Y: 0.43421683 | Z: 0.22366391
 X: 0.19311358 | Y: 0.43280587 | Z: 0.22123431
 X: 0.25637856 | Y: 0.58279234 | Z: 0.66569054
 X: 0.19484043 | Y: 0.44450709 | Z: 0.23356056
 X: 0.19443683 | Y: 0.43468720 | Z: 0.22478247
 X: 0.19845077 | Y: 0.44237569 | Z: 0.23563075
 X: 0.19467297 | Y: 0.43299678 | Z: 0.22385465
 X: 0.19183338 | Y: 0.43477139 | Z: 0.22121648
 X: 0.19674236 | Y: 0.43282920 | Z: 0.22489731
 X: 0.18353902 | Y: 0.40874490 | Z: 0.19248706
 X: 0.19273932 | Y: 0.43419322 | Z: 0.22372776
 X: 0.19290484 | Y: 0.42985633 | Z: 0.21889262
 X: 0.18963882 | Y: 0.43358049 | Z: 0.22008879
 X: 0.19204924 | Y: 0.43212536 | Z: 0.21969573
 X: 0.18947814 | Y: 0.42116204 | Z: 0.20794372
 X: 0.19371177 | Y: 0.43500233 | Z: 0.22244327
 X: 0.19451948 | Y: 0.43738800 | Z: 0.22863825
 X: 0.25056440 | Y: 0.58066684 | Z: 0.72393858
 X: 0.19603418 | Y: 0.44288820 | Z: 0.23443586
 X: 0.19530489 | Y: 0.43883893 | Z: 0.22638428
 X: 0.19102731 | Y: 0.43085968 | Z: 0.21902899
 X: 0.19317754 | Y: 0.43286374 | Z: 0.22142611
 X: 0.19146639 | Y: 0.43174213 | Z: 0.22133839
 X: 0.19147153 | Y: 0.43111855 | Z: 0.21845968
 X: 0.18033393 | Y: 0.40718603 | Z: 0.19112711
 X: 0.18906736 | Y: 0.43839666 | Z: 0.22246820
 X: 0.19381706 | Y: 0.43705073 | Z: 0.22399652
 X: 0.18997613 | Y: 0.43880215 | Z: 0.22546121
 X: 0.19188780 | Y: 0.44156432 | Z: 0.22826709
 X: 0.18680070 | Y: 0.42449090 | Z: 0.20962411
 X: 0.19576436 | Y: 0.43743366 | Z: 0.22799964
 X: 0.19508769 | Y: 0.43060404 | Z: 0.22115439
 X: 0.25114676 | Y: 0.57278001 | Z: 0.77668935
 X: 0.19952051 | Y: 0.44910395 | Z: 0.24406266
 X: 0.19013876 | Y: 0.43001905 | Z: 0.21640301
 X: 0.19181643 | Y: 0.43171549 | Z: 0.21995854
 X: 0.19313349 | Y: 0.43424088 | Z: 0.22247498
 X: 0.19369635 | Y: 0.44182998 | Z: 0.23191655
 X: 0.19560356 | Y: 0.44274524 | Z: 0.23416629
 X: 0.22412883 | Y: 0.51285857 | Z: 0.34493381
 X: 0.19395348 | Y: 0.44117734 | Z: 0.22925317
 X: 0.19304802 | Y: 0.43650386 | Z: 0.22700800
 X: 0.18944663 | Y: 0.43362609 | Z: 0.22047444
 X: 0.19259244 | Y: 0.42981312 | Z: 0.22058956
 X: 0.19377311 | Y: 0.44300979 | Z: 0.23265760
 X: 0.19217478 | Y: 0.43872881 | Z: 0.22827315
 X: 0.18686920 | Y: 0.42626798 | Z: 0.21305938
 X: 0.25343439 | Y: 0.58638889 | Z: 0.67442936
 X: 0.19073208 | Y: 0.44295049 | Z: 0.23217365
 X: 0.19042403 | Y: 0.43500739 | Z: 0.22271939
 X: 0.18962094 | Y: 0.43157575 | Z: 0.21770224
 X: 0.19040641 | Y: 0.43642795 | Z: 0.22269388
 X: 0.19108634 | Y: 0.44498613 | Z: 0.23168160
 X: 0.18893155 | Y: 0.43843526 | Z: 0.22566098
 X: 0.17802964 | Y: 0.40846097 | Z: 0.19003759
 X: 0.19235881 | Y: 0.43407750 | Z: 0.22260197
 X: 0.18827172 | Y: 0.43304378 | Z: 0.21951976
 X: 0.19110063 | Y: 0.43179756 | Z: 0.22071108
 X: 0.19744319 | Y: 0.44132382 | Z: 0.23298810
 X: 0.19190530 | Y: 0.43467155 | Z: 0.22376360
 X: 0.19572324 | Y: 0.43776038 | Z: 0.22837445
 X: 0.19179057 | Y: 0.43411750 | Z: 0.22029947
 X: 0.25220975 | Y: 0.57972258 | Z: 0.70860958
 X: 0.19425872 | Y: 0.44290739 | Z: 0.23328319
 X: 0.19340985 | Y: 0.43328914 | Z: 0.22238886
 X: 0.18539445 | Y: 0.42660564 | Z: 0.21150675
 X: 0.19244768 | Y: 0.43036902 | Z: 0.21956415
 X: 0.18958007 | Y: 0.42512104 | Z: 0.21184599
 X: 0.19443233 | Y: 0.43767577 | Z: 0.22800417
 X: 0.17598425 | Y: 0.40237215 | Z: 0.18472129
 X: 0.18744735 | Y: 0.42948669 | Z: 0.21440104
 X: 0.19068757 | Y: 0.43127295 | Z: 0.21962893
 X: 0.18884023 | Y: 0.43157333 | Z: 0.21890566
 X: 0.18921812 | Y: 0.43493441 | Z: 0.22032154
 X: 0.19099505 | Y: 0.43194708 | Z: 0.21878445
 X: 0.18794699 | Y: 0.43530023 | Z: 0.22274598
 X: 0.19055294 | Y: 0.43632573 | Z: 0.22509055
 X: 0.24793038 | Y: 0.57640433 | Z: 0.79606241
