x amp: 3.057    | y amp: 4.956    | z amp: 5.818    
x amp: 4.035    | y amp: 2.459    | z amp: 13.664   
x amp: 5.422    | y amp: 6.175    | z amp: 3.957    
x amp: 1.990    | y amp: 2.847    | z amp: 1.656    
x amp: 5.616    | y amp: 1.220    | z amp: 12.482   
x amp: 3.492    | y amp: 5.635    | z amp: 4.042    
x amp: 3.063    | y amp: 4.071    | z amp: 4.049    
x amp: 1.804    | y amp: 2.812    | z amp: 19.952   
x amp: 1.467    | y amp: 10.913   | z amp: 6.412    
x amp: 1.857    | y amp: 2.875    | z amp: 11.276   
x amp: 0.774    | y amp: 2.204    | z amp: 31.673   
x amp: 2.007    | y amp: 11.929   | z amp: 12.740   
x amp: 3.160    | y amp: 3.560    | z amp: 5.423    
x amp: 1.004    | y amp: 2.515    | z amp: 19.066   
x amp: 1.203    | y amp: 14.614   | z amp: 2.893    
x amp: 4.753    | y amp: 5.381    | z amp: 10.249   
x amp: 1.003    | y amp: 3.034    | z amp: 22.048   
x amp: 2.410    | y amp: 13.974   | z amp: 0.560    
x amp: 4.589    | y amp: 4.373    | z amp: 6.597    
x amp: 1.719    | y amp: 4.460    | z amp: 3.235    
x amp: 1.326    | y amp: 13.670   | z amp: 6.501    
x amp: 5.476    | y amp: 4.783    | z amp: 7.426    
x amp: 2.343    | y amp: 1.690    | z amp: 5.392    
x amp: 1.376    | y amp: 12.710   | z amp: 2.598    
x amp: 4.344    | y amp: 4.871    | z amp: 3.872    
x amp: 2.415    | y amp: 2.648    | z amp: 7.377    
x amp: 3.165    | y amp: 7.706    | z amp: 10.204   
x amp: 4.868    | y amp: 5.646    | z amp: 8.103    
x amp: 3.817    | y amp: 1.636    | z amp: 1.209    
x amp: 5.992    | y amp: 9.311    | z amp: 11.492   
x amp: 7.221    | y amp: 4.214    | z amp: 1.313    
x amp: 3.433    | y amp: 3.641    | z amp: 0.564    
x amp: 3.557    | y amp: 3.160    | z amp: 15.617   
x amp: 5.216    | y amp: 8.011    | z amp: 5.965    
x amp: 2.222    | y amp: 2.546    | z amp: 7.047    
x amp: 0.498    | y amp: 0.305    | z amp: 18.541   
x amp: 1.619    | y amp: 7.976    | z amp: 6.383    
x amp: 3.068    | y amp: 1.896    | z amp: 6.262    
x amp: 1.424    | y amp: 3.625    | z amp: 4.680    
x amp: 2.463    | y amp: 10.114   | z amp: 3.613    
x amp: 1.329    | y amp: 3.982    | z amp: 5.474    
x amp: 3.674    | y amp: 2.110    | z amp: 28.154   
x amp: 2.457    | y amp: 13.142   | z amp: 7.276    
x amp: 0.622    | y amp: 1.776    | z amp: 10.538   
x amp: 1.698    | y amp: 1.559    | z amp: 22.282   
x amp: 1.565    | y amp: 13.795   | z amp: 4.603    
x amp: 0.238    | y amp: 2.015    | z amp: 5.450    
x amp: 1.389    | y amp: 5.135    | z amp: 17.461   
x amp: 2.099    | y amp: 14.234   | z amp: 9.059    
x amp: 1.959    | y amp: 0.650    | z amp: 5.382    
x amp: 2.454    | y amp: 4.259    | z amp: 17.762   
x amp: 1.268    | y amp: 12.119   | z amp: 5.883    
x amp: 4.068    | y amp: 5.038    | z amp: 2.512    
x amp: 2.807    | y amp: 4.047    | z amp: 19.840   
x amp: 5.415    | y amp: 12.428   | z amp: 3.278    
x amp: 8.689    | y amp: 8.046    | z amp: 6.494    
x amp: 5.460    | y amp: 0.998    | z amp: 3.273    
x amp: 4.834    | y amp: 10.831   | z amp: 5.491    
x amp: 5.748    | y amp: 8.507    | z amp: 6.662    
x amp: 4.879    | y amp: 0.970    | z amp: 3.013    
x amp: 2.450    | y amp: 5.476    | z amp: 17.017   
x amp: 10.105   | y amp: 6.060    | z amp: 6.164    
x amp: 2.431    | y amp: 1.704    | z amp: 11.583   
x amp: 0.769    | y amp: 2.298    | z amp: 7.319    
x amp: 1.513    | y amp: 5.761    | z amp: 7.500    
x amp: 2.206    | y amp: 2.529    | z amp: 4.006    
x amp: 1.543    | y amp: 1.976    | z amp: 14.092   
x amp: 1.986    | y amp: 7.686    | z amp: 5.223    
x amp: 2.228    | y amp: 2.893    | z amp: 11.212   
x amp: 1.724    | y amp: 2.540    | z amp: 6.193    
x amp: 1.582    | y amp: 10.401   | z amp: 7.563    
x amp: 4.483    | y amp: 2.898    | z amp: 3.835    
x amp: 2.292    | y amp: 3.007    | z amp: 14.461   
x amp: 2.237    | y amp: 12.653   | z amp: 7.427    
x amp: 2.202    | y amp: 8.152    | z amp: 3.774    
x amp: 0.643    | y amp: 3.815    | z amp: 28.786   
x amp: 1.757    | y amp: 11.580   | z amp: 2.906    
x amp: 0.611    | y amp: 4.499    | z amp: 6.803    
x amp: 1.633    | y amp: 3.477    | z amp: 15.630   
x amp: 2.336    | y amp: 17.290   | z amp: 4.743    
x amp: 1.217    | y amp: 5.606    | z amp: 3.869    
x amp: 5.186    | y amp: 2.859    | z amp: 10.710   
x amp: 5.555    | y amp: 16.707   | z amp: 7.613    
x amp: 3.134    | y amp: 2.823    | z amp: 0.768    
x amp: 5.330    | y amp: 2.118    | z amp: 5.320    
x amp: 4.980    | y amp: 10.974   | z amp: 16.664   
x amp: 12.573   | y amp: 6.434    | z amp: 1.737    
x amp: 3.466    | y amp: 0.724    | z amp: 4.107    
x amp: 1.489    | y amp: 4.865    | z amp: 16.203   
x amp: 7.498    | y amp: 5.350    | z amp: 8.657    
x amp: 0.379    | y amp: 2.709    | z amp: 10.344   
x amp: 2.737    | y amp: 2.199    | z amp: 11.646   
x amp: 6.896    | y amp: 6.198    | z amp: 6.236    
x amp: 1.732    | y amp: 2.091    | z amp: 3.677    
x amp: 1.924    | y amp: 0.552    | z amp: 17.657   
x amp: 6.228    | y amp: 7.370    | z amp: 2.087    
x amp: 2.421    | y amp: 1.153    | z amp: 2.462    
x amp: 1.851    | y amp: 3.558    | z amp: 12.325   
x amp: 6.972    | y amp: 9.262    | z amp: 1.591    
x amp: 0.756    | y amp: 5.993    | z amp: 6.676    
x amp: 1.401    | y amp: 4.423    | z amp: 6.643    
x amp: 1.562    | y amp: 9.806    | z amp: 5.647    
x amp: 1.979    | y amp: 1.691    | z amp: 5.459    
x amp: 1.431    | y amp: 2.299    | z amp: 11.005   
x amp: 1.737    | y amp: 12.088   | z amp: 4.053    
x amp: 2.606    | y amp: 0.539    | z amp: 4.478    
x amp: 3.418    | y amp: 5.488    | z amp: 12.583   
x amp: 4.161    | y amp: 14.478   | z amp: 9.093    
x amp: 5.847    | y amp: 1.570    | z amp: 5.356    
x amp: 4.893    | y amp: 2.707    | z amp: 19.155   
x amp: 3.382    | y amp: 13.170   | z amp: 7.461    
x amp: 2.324    | y amp: 4.793    | z amp: 2.382    
x amp: 2.994    | y amp: 1.205    | z amp: 22.395   
x amp: 1.402    | y amp: 12.260   | z amp: 9.692    
x amp: 2.304    | y amp: 4.198    | z amp: 5.413    
x amp: 0.368    | y amp: 2.753    | z amp: 20.287   
x amp: 0.900    | y amp: 13.861   | z amp: 6.901    
x amp: 4.384    | y amp: 5.381    | z amp: 5.888    
x amp: 0.867    | y amp: 2.363    | z amp: 11.111   
x amp: 3.258    | y amp: 14.465   | z amp: 3.299    
x amp: 2.426    | y amp: 4.903    | z amp: 4.256    
x amp: 0.738    | y amp: 2.746    | z amp: 7.643    
x amp: 2.316    | y amp: 12.521   | z amp: 5.740    
x amp: 6.140    | y amp: 18.457   | z amp: 10.070   
x amp: 1.524    | y amp: 3.855    | z amp: 5.234    
x amp: 2.158    | y amp: 13.463   | z amp: 17.589   
x amp: 8.380    | y amp: 8.454    | z amp: 1.238    
x amp: 0.985    | y amp: 5.174    | z amp: 3.916    
x amp: 0.874    | y amp: 4.940    | z amp: 14.349   
x amp: 8.127    | y amp: 6.050    | z amp: 1.511    
x amp: 3.625    | y amp: 0.524    | z amp: 2.410    
x amp: 4.678    | y amp: 2.781    | z amp: 13.299   
x amp: 9.044    | y amp: 9.068    | z amp: 5.368    
x amp: 4.344    | y amp: 1.719    | z amp: 6.880    
x amp: 2.945    | y amp: 2.161    | z amp: 10.757   
x amp: 4.637    | y amp: 9.544    | z amp: 6.806    
x amp: 3.462    | y amp: 2.640    | z amp: 2.130    
x amp: 0.642    | y amp: 0.956    | z amp: 10.770   
x amp: 1.306    | y amp: 7.357    | z amp: 11.645   
x amp: 2.161    | y amp: 3.094    | z amp: 7.454    
x amp: 0.352    | y amp: 1.818    | z amp: 9.186    
x amp: 2.266    | y amp: 11.386   | z amp: 10.129   
x amp: 1.016    | y amp: 2.904    | z amp: 4.217    
x amp: 0.673    | y amp: 1.706    | z amp: 22.960   
x amp: 1.359    | y amp: 13.495   | z amp: 10.799   
x amp: 0.952    | y amp: 2.622    | z amp: 2.347    
x amp: 2.161    | y amp: 4.634    | z amp: 22.770   
x amp: 1.112    | y amp: 13.030   | z amp: 5.003    
x amp: 2.104    | y amp: 2.019    | z amp: 6.710    
x amp: 1.623    | y amp: 5.556    | z amp: 19.097   
x amp: 1.641    | y amp: 8.130    | z amp: 6.907    
