 X: 0.88457048 | Y: 1.08375764 | Z: 0.51499313 | accel X: 0.00400423 | accel Y: 0.00063688 | accel Z: -0.02413124
 X: 0.88125819 | Y: 1.08623934 | Z: 0.51396322 | accel X: 0.00152049 | accel Y: 0.00102307 | accel Z: -0.02160156
 X: 0.88307345 | Y: 1.08310497 | Z: 0.51452702 | accel X: 0.00390537 | accel Y: 0.00086056 | accel Z: -0.02593809
 X: 0.88488674 | Y: 1.08394134 | Z: 0.51608092 | accel X: 0.00417065 | accel Y: -0.00056900 | accel Z: -0.02530545
 X: 0.88214207 | Y: 1.08588183 | Z: 0.51702803 | accel X: 0.00417065 | accel Y: -0.00056900 | accel Z: -0.02530545
 X: 0.88684189 | Y: 1.08163345 | Z: 0.51411003 | accel X: 0.00329763 | accel Y: 0.00000525 | accel Z: -0.02290589
 X: 0.88415533 | Y: 1.08318543 | Z: 0.51692426 | accel X: 0.00455857 | accel Y: 0.00154588 | accel Z: -0.02665544
 X: 0.88177955 | Y: 1.08467257 | Z: 0.51497197 | accel X: 0.00297413 | accel Y: 0.00157706 | accel Z: -0.02607620
 X: 0.88838208 | Y: 1.08128059 | Z: 0.51976562 | accel X: 0.00553752 | accel Y: 0.00053149 | accel Z: -0.02569771
 X: 0.88315648 | Y: 1.08289611 | Z: 0.51569951 | accel X: 0.00342511 | accel Y: 0.00142584 | accel Z: -0.02777570
 X: 0.88837618 | Y: 1.08149493 | Z: 0.51497114 | accel X: 0.00342511 | accel Y: 0.00142584 | accel Z: -0.02777570
 X: 0.89094388 | Y: 1.08003652 | Z: 0.51395208 | accel X: 0.00485744 | accel Y: 0.00211201 | accel Z: -0.02493757
 X: 0.89276779 | Y: 1.07695889 | Z: 0.51536965 | accel X: 0.00531128 | accel Y: 0.00201728 | accel Z: -0.02384281
 X: 0.89341867 | Y: 1.07731819 | Z: 0.51733249 | accel X: 0.00721027 | accel Y: 0.00068996 | accel Z: -0.02950078
 X: 0.88419062 | Y: 1.08268404 | Z: 0.51699293 | accel X: 0.00409724 | accel Y: -0.00092208 | accel Z: -0.02802861
 X: 0.87835783 | Y: 1.08627725 | Z: 0.51904494 | accel X: 0.00405350 | accel Y: -0.00183133 | accel Z: -0.02681631
 X: 0.88160580 | Y: 1.08438301 | Z: 0.51513857 | accel X: -0.00021983 | accel Y: 0.00131906 | accel Z: -0.02883250
 X: 0.88786381 | Y: 1.08368921 | Z: 0.51762569 | accel X: -0.00021983 | accel Y: 0.00131906 | accel Z: -0.02883250
 X: 0.88160235 | Y: 1.08418560 | Z: 0.52462560 | accel X: 0.00411996 | accel Y: 0.00104600 | accel Z: -0.02453369
