x amp: 122.885  | y amp: 62.096   | z amp: 10.353   
x amp: 118.122  | y amp: 69.121   | z amp: 22.061   
x amp: 119.630  | y amp: 70.295   | z amp: 9.019    
x amp: 117.913  | y amp: 70.865   | z amp: 23.083   
x amp: 114.994  | y amp: 83.158   | z amp: 6.921    
x amp: 137.588  | y amp: 61.094   | z amp: 10.430   
x amp: 131.406  | y amp: 58.479   | z amp: 29.465   
x amp: 117.211  | y amp: 69.979   | z amp: 9.919    
x amp: 120.547  | y amp: 70.225   | z amp: 21.306   
x amp: 120.526  | y amp: 80.986   | z amp: 18.474   
x amp: 119.952  | y amp: 62.287   | z amp: 11.835   
x amp: 117.395  | y amp: 70.959   | z amp: 21.909   
x amp: 124.013  | y amp: 68.076   | z amp: 16.744   
x amp: 137.932  | y amp: 88.177   | z amp: 32.218   
x amp: 113.890  | y amp: 78.676   | z amp: 24.099   
x amp: 121.819  | y amp: 70.952   | z amp: 15.270   
x amp: 116.252  | y amp: 64.826   | z amp: 8.676    
x amp: 120.335  | y amp: 70.206   | z amp: 29.777   
x amp: 118.253  | y amp: 58.260   | z amp: 12.961   
x amp: 93.134   | y amp: 74.958   | z amp: 14.511   
x amp: 99.286   | y amp: 65.088   | z amp: 49.614   
x amp: 115.321  | y amp: 68.345   | z amp: 18.578   
x amp: 118.819  | y amp: 63.384   | z amp: 35.333   
x amp: 121.225  | y amp: 71.623   | z amp: 31.054   
x amp: 121.852  | y amp: 63.773   | z amp: 16.397   
x amp: 112.250  | y amp: 68.407   | z amp: 20.849   
x amp: 87.365   | y amp: 78.952   | z amp: 20.047   
x amp: 106.152  | y amp: 61.970   | z amp: 88.910   
x amp: 117.594  | y amp: 78.500   | z amp: 17.398   
x amp: 126.473  | y amp: 63.302   | z amp: 22.050   
x amp: 119.737  | y amp: 66.982   | z amp: 16.466   
x amp: 117.503  | y amp: 70.128   | z amp: 8.722    
x amp: 118.584  | y amp: 71.169   | z amp: 22.795   
