x amp: 20.265   | y amp: 163.453  | z amp: 140.531  
x amp: 20.520   | y amp: 162.824  | z amp: 143.313  
x amp: 20.178   | y amp: 163.410  | z amp: 143.562  
x amp: 14.329   | y amp: 159.655  | z amp: 152.781  
x amp: 15.049   | y amp: 162.944  | z amp: 146.179  
x amp: 24.757   | y amp: 163.606  | z amp: 148.094  
x amp: 20.223   | y amp: 162.749  | z amp: 143.991  
x amp: 18.114   | y amp: 162.408  | z amp: 138.398  
x amp: 45.690   | y amp: 161.581  | z amp: 150.360  
x amp: 16.217   | y amp: 161.453  | z amp: 141.425  
x amp: 23.709   | y amp: 161.977  | z amp: 143.932  
x amp: 23.232   | y amp: 163.941  | z amp: 146.804  
x amp: 19.521   | y amp: 162.831  | z amp: 143.977  
x amp: 42.119   | y amp: 163.187  | z amp: 143.458  
x amp: 12.739   | y amp: 160.372  | z amp: 145.993  
x amp: 21.930   | y amp: 162.762  | z amp: 143.093  
x amp: 18.026   | y amp: 163.667  | z amp: 143.126  
x amp: 23.525   | y amp: 163.284  | z amp: 147.345  
x amp: 19.168   | y amp: 162.217  | z amp: 146.949  
x amp: 19.085   | y amp: 161.608  | z amp: 145.236  
x amp: 28.916   | y amp: 162.756  | z amp: 143.870  
x amp: 11.040   | y amp: 161.243  | z amp: 141.097  
x amp: 21.182   | y amp: 163.511  | z amp: 148.592  
x amp: 23.025   | y amp: 162.304  | z amp: 150.171  
x amp: 17.269   | y amp: 163.528  | z amp: 145.036  
x amp: 15.525   | y amp: 163.550  | z amp: 143.488  
x amp: 19.501   | y amp: 162.681  | z amp: 148.776  
x amp: 9.884    | y amp: 161.932  | z amp: 150.522  
x amp: 29.907   | y amp: 164.071  | z amp: 125.911  
x amp: 23.462   | y amp: 162.757  | z amp: 147.975  
x amp: 22.232   | y amp: 162.632  | z amp: 144.669  
x amp: 18.807   | y amp: 163.076  | z amp: 147.857  
x amp: 17.799   | y amp: 162.287  | z amp: 151.835  
x amp: 17.760   | y amp: 164.461  | z amp: 146.336  
x amp: 45.171   | y amp: 161.877  | z amp: 146.093  
x amp: 39.666   | y amp: 165.057  | z amp: 128.131  
x amp: 19.142   | y amp: 162.169  | z amp: 143.408  
x amp: 19.660   | y amp: 162.757  | z amp: 132.396  
x amp: 19.043   | y amp: 163.787  | z amp: 143.793  
x amp: 23.561   | y amp: 162.999  | z amp: 151.674  
x amp: 10.645   | y amp: 162.045  | z amp: 144.228  
x amp: 15.994   | y amp: 162.503  | z amp: 145.810  
x amp: 34.045   | y amp: 159.673  | z amp: 152.300  
x amp: 16.809   | y amp: 162.717  | z amp: 143.737  
x amp: 18.354   | y amp: 162.355  | z amp: 141.338  
x amp: 22.499   | y amp: 164.343  | z amp: 147.848  
x amp: 18.598   | y amp: 162.825  | z amp: 145.084  
x amp: 21.826   | y amp: 162.404  | z amp: 131.039  
x amp: 18.560   | y amp: 161.518  | z amp: 147.220  
x amp: 25.799   | y amp: 159.445  | z amp: 103.145  
x amp: 22.145   | y amp: 162.836  | z amp: 143.748  
x amp: 18.572   | y amp: 163.159  | z amp: 146.126  
x amp: 18.879   | y amp: 164.200  | z amp: 144.250  
x amp: 17.396   | y amp: 162.995  | z amp: 145.371  
x amp: 18.237   | y amp: 162.488  | z amp: 144.906  
x amp: 34.004   | y amp: 163.497  | z amp: 143.355  
x amp: 39.453   | y amp: 158.786  | z amp: 148.616  
x amp: 20.066   | y amp: 163.091  | z amp: 142.312  
x amp: 17.153   | y amp: 163.598  | z amp: 141.487  
x amp: 20.422   | y amp: 164.552  | z amp: 145.048  
x amp: 21.590   | y amp: 162.703  | z amp: 143.532  
x amp: 23.723   | y amp: 163.475  | z amp: 147.087  
x amp: 14.639   | y amp: 162.009  | z amp: 136.359  
x amp: 32.910   | y amp: 162.571  | z amp: 154.871  
x amp: 19.378   | y amp: 160.177  | z amp: 143.707  
x amp: 12.951   | y amp: 162.486  | z amp: 141.943  
x amp: 24.906   | y amp: 162.604  | z amp: 147.951  
x amp: 22.963   | y amp: 163.212  | z amp: 146.820  
x amp: 19.960   | y amp: 162.253  | z amp: 143.476  
x amp: 10.115   | y amp: 160.891  | z amp: 145.980  
x amp: 6.012    | y amp: 165.459  | z amp: 111.133  
x amp: 21.193   | y amp: 162.292  | z amp: 140.526  
x amp: 20.746   | y amp: 162.812  | z amp: 149.781  
x amp: 21.820   | y amp: 163.073  | z amp: 149.898  
x amp: 18.154   | y amp: 161.821  | z amp: 142.163  
x amp: 20.141   | y amp: 161.708  | z amp: 142.079  
x amp: 7.729    | y amp: 162.359  | z amp: 142.910  
x amp: 10.475   | y amp: 162.015  | z amp: 152.433  
x amp: 23.779   | y amp: 162.337  | z amp: 150.258  
x amp: 16.685   | y amp: 162.857  | z amp: 142.324  
x amp: 18.465   | y amp: 162.989  | z amp: 147.157  
x amp: 17.156   | y amp: 161.275  | z amp: 140.134  
x amp: 20.551   | y amp: 162.614  | z amp: 148.899  
x amp: 21.357   | y amp: 162.152  | z amp: 148.680  
x amp: 19.224   | y amp: 162.591  | z amp: 143.979  
x amp: 19.497   | y amp: 162.454  | z amp: 147.411  
x amp: 23.501   | y amp: 163.145  | z amp: 146.091  
x amp: 18.258   | y amp: 162.788  | z amp: 148.637  
x amp: 36.112   | y amp: 161.440  | z amp: 102.718  
x amp: 24.244   | y amp: 162.591  | z amp: 146.980  
x amp: 18.204   | y amp: 162.729  | z amp: 147.972  
x amp: 18.356   | y amp: 162.384  | z amp: 145.989  
x amp: 20.287   | y amp: 163.888  | z amp: 145.159  
x amp: 37.517   | y amp: 163.343  | z amp: 148.231  
x amp: 34.475   | y amp: 163.072  | z amp: 148.427  
x amp: 16.986   | y amp: 163.143  | z amp: 143.531  
x amp: 15.785   | y amp: 163.391  | z amp: 139.905  
x amp: 24.960   | y amp: 162.822  | z amp: 147.763  
x amp: 16.150   | y amp: 162.674  | z amp: 143.885  
x amp: 20.139   | y amp: 162.590  | z amp: 147.785  
x amp: 45.021   | y amp: 162.677  | z amp: 149.320  
x amp: 36.721   | y amp: 162.804  | z amp: 119.921  
x amp: 19.774   | y amp: 162.426  | z amp: 144.546  
x amp: 12.351   | y amp: 162.915  | z amp: 138.651  
x amp: 18.064   | y amp: 162.046  | z amp: 139.565  
x amp: 25.947   | y amp: 162.546  | z amp: 139.080  
x amp: 18.375   | y amp: 162.039  | z amp: 141.608  
x amp: 37.781   | y amp: 161.729  | z amp: 149.758  
x amp: 45.307   | y amp: 161.817  | z amp: 146.600  
x amp: 18.550   | y amp: 163.943  | z amp: 145.451  
x amp: 22.552   | y amp: 162.607  | z amp: 151.056  
x amp: 21.105   | y amp: 162.808  | z amp: 149.845  
x amp: 21.794   | y amp: 162.234  | z amp: 145.861  
x amp: 20.208   | y amp: 163.525  | z amp: 149.053  
x amp: 38.005   | y amp: 162.554  | z amp: 144.901  
x amp: 22.425   | y amp: 161.083  | z amp: 123.209  
x amp: 21.698   | y amp: 161.909  | z amp: 143.945  
x amp: 15.945   | y amp: 162.957  | z amp: 148.501  
x amp: 18.544   | y amp: 163.054  | z amp: 143.921  
x amp: 18.350   | y amp: 162.362  | z amp: 142.502  
x amp: 19.106   | y amp: 162.310  | z amp: 140.671  
x amp: 23.479   | y amp: 162.713  | z amp: 147.632  
x amp: 17.929   | y amp: 163.224  | z amp: 146.348  
x amp: 19.145   | y amp: 163.050  | z amp: 142.543  
x amp: 17.092   | y amp: 163.628  | z amp: 144.750  
x amp: 25.095   | y amp: 162.669  | z amp: 144.320  
x amp: 20.315   | y amp: 162.681  | z amp: 147.988  
x amp: 41.509   | y amp: 163.689  | z amp: 149.574  
x amp: 22.366   | y amp: 163.382  | z amp: 148.432  
x amp: 20.049   | y amp: 163.255  | z amp: 145.206  
x amp: 18.330   | y amp: 162.718  | z amp: 139.860  
x amp: 18.570   | y amp: 163.091  | z amp: 142.832  
x amp: 20.795   | y amp: 162.940  | z amp: 147.294  
x amp: 42.140   | y amp: 164.735  | z amp: 119.829  
x amp: 36.929   | y amp: 164.688  | z amp: 141.036  
x amp: 18.589   | y amp: 162.921  | z amp: 140.343  
x amp: 17.270   | y amp: 164.210  | z amp: 134.595  
x amp: 19.561   | y amp: 162.579  | z amp: 142.859  
x amp: 25.792   | y amp: 162.549  | z amp: 146.367  
x amp: 21.571   | y amp: 162.512  | z amp: 143.898  
x amp: 46.190   | y amp: 162.470  | z amp: 138.740  
x amp: 45.042   | y amp: 161.469  | z amp: 111.657  
x amp: 27.879   | y amp: 163.637  | z amp: 144.109  
x amp: 17.456   | y amp: 162.337  | z amp: 141.504  
x amp: 25.803   | y amp: 163.418  | z amp: 145.856  
x amp: 18.438   | y amp: 162.172  | z amp: 141.026  
x amp: 20.535   | y amp: 161.779  | z amp: 143.991  
x amp: 11.782   | y amp: 162.072  | z amp: 144.851  
x amp: 18.406   | y amp: 164.254  | z amp: 142.067  
x amp: 22.173   | y amp: 163.512  | z amp: 139.547  
x amp: 18.441   | y amp: 162.079  | z amp: 143.610  
x amp: 19.165   | y amp: 163.809  | z amp: 143.651  
x amp: 17.142   | y amp: 163.326  | z amp: 146.748  
x amp: 26.099   | y amp: 162.947  | z amp: 147.173  
x amp: 23.060   | y amp: 162.422  | z amp: 142.945  
x amp: 8.649    | y amp: 163.906  | z amp: 154.537  
x amp: 15.766   | y amp: 162.992  | z amp: 146.551  
x amp: 19.910   | y amp: 163.911  | z amp: 141.595  
x amp: 17.560   | y amp: 163.974  | z amp: 137.824  
x amp: 16.934   | y amp: 163.702  | z amp: 145.613  
x amp: 24.371   | y amp: 162.615  | z amp: 145.017  
x amp: 34.661   | y amp: 161.220  | z amp: 143.476  
x amp: 38.942   | y amp: 164.347  | z amp: 118.391  
x amp: 19.163   | y amp: 161.856  | z amp: 143.698  
x amp: 23.720   | y amp: 163.639  | z amp: 146.298  
x amp: 17.255   | y amp: 163.480  | z amp: 146.445  
x amp: 22.082   | y amp: 163.645  | z amp: 140.769  
x amp: 45.945   | y amp: 162.684  | z amp: 122.594  
x amp: 22.138   | y amp: 161.320  | z amp: 148.640  
x amp: 24.360   | y amp: 161.755  | z amp: 147.773  
x amp: 16.340   | y amp: 162.282  | z amp: 143.131  
x amp: 22.826   | y amp: 162.810  | z amp: 142.946  
x amp: 18.053   | y amp: 162.428  | z amp: 144.934  
x amp: 21.977   | y amp: 163.960  | z amp: 149.582  
x amp: 4.465    | y amp: 162.942  | z amp: 121.596  
x amp: 18.151   | y amp: 164.081  | z amp: 135.530  
x amp: 19.285   | y amp: 162.975  | z amp: 145.479  
x amp: 18.584   | y amp: 162.800  | z amp: 138.721  
x amp: 20.290   | y amp: 161.840  | z amp: 144.896  
x amp: 24.122   | y amp: 163.596  | z amp: 145.909  
x amp: 24.875   | y amp: 163.324  | z amp: 149.040  
x amp: 28.894   | y amp: 161.504  | z amp: 121.902  
x amp: 19.410   | y amp: 162.199  | z amp: 145.444  
x amp: 17.719   | y amp: 163.862  | z amp: 140.943  
x amp: 19.966   | y amp: 162.167  | z amp: 135.902  
x amp: 24.532   | y amp: 162.630  | z amp: 148.214  
x amp: 15.742   | y amp: 163.599  | z amp: 148.253  
x amp: 13.851   | y amp: 162.442  | z amp: 143.623  
x amp: 43.435   | y amp: 163.306  | z amp: 133.095  
x amp: 17.689   | y amp: 164.851  | z amp: 142.234  
x amp: 22.683   | y amp: 163.049  | z amp: 145.634  
x amp: 17.359   | y amp: 164.369  | z amp: 144.577  
x amp: 19.081   | y amp: 163.800  | z amp: 148.738  
x amp: 18.202   | y amp: 162.873  | z amp: 145.134  
x amp: 8.851    | y amp: 162.182  | z amp: 144.852  
x amp: 29.487   | y amp: 162.697  | z amp: 133.729  
x amp: 16.842   | y amp: 163.154  | z amp: 148.823  
x amp: 19.723   | y amp: 163.238  | z amp: 141.099  
x amp: 17.794   | y amp: 162.288  | z amp: 141.991  
x amp: 18.582   | y amp: 164.078  | z amp: 147.522  
x amp: 19.161   | y amp: 164.150  | z amp: 144.671  
x amp: 9.544    | y amp: 163.209  | z amp: 146.085  
x amp: 6.156    | y amp: 164.039  | z amp: 150.738  
x amp: 16.910   | y amp: 162.273  | z amp: 137.825  
x amp: 20.353   | y amp: 162.790  | z amp: 143.048  
x amp: 20.774   | y amp: 163.101  | z amp: 148.884  
x amp: 19.713   | y amp: 163.103  | z amp: 147.916  
x amp: 23.239   | y amp: 162.774  | z amp: 150.020  
x amp: 38.294   | y amp: 161.928  | z amp: 136.605  
x amp: 37.278   | y amp: 161.006  | z amp: 117.187  
x amp: 18.729   | y amp: 163.182  | z amp: 143.193  
x amp: 19.659   | y amp: 163.813  | z amp: 144.879  
x amp: 22.476   | y amp: 163.414  | z amp: 146.687  
x amp: 18.362   | y amp: 162.432  | z amp: 145.054  
x amp: 18.724   | y amp: 162.943  | z amp: 143.874  
x amp: 23.905   | y amp: 163.285  | z amp: 146.575  
x amp: 44.744   | y amp: 162.907  | z amp: 154.320  
x amp: 16.663   | y amp: 162.775  | z amp: 137.255  
x amp: 24.842   | y amp: 162.973  | z amp: 149.790  
x amp: 22.724   | y amp: 162.482  | z amp: 143.168  
x amp: 22.327   | y amp: 162.793  | z amp: 142.937  
x amp: 21.443   | y amp: 162.177  | z amp: 144.883  
x amp: 15.883   | y amp: 161.944  | z amp: 147.370  
x amp: 34.587   | y amp: 163.206  | z amp: 142.686  
x amp: 25.053   | y amp: 162.499  | z amp: 149.492  
x amp: 19.908   | y amp: 163.991  | z amp: 147.000  
x amp: 17.159   | y amp: 162.543  | z amp: 148.256  
x amp: 22.377   | y amp: 163.015  | z amp: 145.094  
x amp: 18.252   | y amp: 162.478  | z amp: 141.028  
x amp: 16.662   | y amp: 162.531  | z amp: 145.136  
x amp: 28.213   | y amp: 160.826  | z amp: 82.255   
x amp: 19.585   | y amp: 161.490  | z amp: 145.434  
x amp: 18.145   | y amp: 162.056  | z amp: 143.746  
x amp: 21.102   | y amp: 161.432  | z amp: 145.546  
x amp: 15.042   | y amp: 162.223  | z amp: 142.875  
x amp: 25.541   | y amp: 164.511  | z amp: 148.898  
x amp: 32.971   | y amp: 163.292  | z amp: 146.993  
x amp: 25.518   | y amp: 160.264  | z amp: 142.465  
x amp: 22.026   | y amp: 163.362  | z amp: 148.694  
x amp: 18.261   | y amp: 163.467  | z amp: 145.399  
x amp: 18.942   | y amp: 162.973  | z amp: 137.601  
x amp: 22.775   | y amp: 162.580  | z amp: 148.453  
x amp: 13.701   | y amp: 162.550  | z amp: 143.601  
x amp: 31.978   | y amp: 163.192  | z amp: 115.680  
x amp: 24.755   | y amp: 163.357  | z amp: 146.472  
x amp: 19.926   | y amp: 162.060  | z amp: 141.719  
x amp: 18.062   | y amp: 161.965  | z amp: 147.705  
x amp: 20.396   | y amp: 163.356  | z amp: 145.164  
x amp: 22.901   | y amp: 162.844  | z amp: 146.008  
x amp: 12.622   | y amp: 164.244  | z amp: 147.090  
x amp: 9.076    | y amp: 160.359  | z amp: 154.944  
x amp: 17.185   | y amp: 163.177  | z amp: 145.817  
x amp: 19.688   | y amp: 163.590  | z amp: 147.356  
x amp: 17.739   | y amp: 162.475  | z amp: 142.948  
