x amp: 25.162   | y amp: 60.523   | z amp: 143.935  
x amp: 12.612   | y amp: 73.945   | z amp: 160.230  
x amp: 17.080   | y amp: 71.804   | z amp: 159.698  
x amp: 15.909   | y amp: 75.759   | z amp: 160.642  
x amp: 30.892   | y amp: 64.382   | z amp: 154.960  
x amp: 37.037   | y amp: 114.163  | z amp: 152.101  
x amp: 11.698   | y amp: 77.242   | z amp: 158.712  
x amp: 18.369   | y amp: 70.107   | z amp: 159.085  
x amp: 13.074   | y amp: 71.372   | z amp: 157.404  
x amp: 10.659   | y amp: 64.113   | z amp: 158.908  
x amp: 36.500   | y amp: 75.298   | z amp: 154.652  
x amp: 13.725   | y amp: 72.656   | z amp: 159.283  
x amp: 16.444   | y amp: 73.404   | z amp: 160.810  
x amp: 16.749   | y amp: 74.637   | z amp: 157.726  
x amp: 16.003   | y amp: 65.392   | z amp: 160.066  
x amp: 6.974    | y amp: 72.419   | z amp: 159.686  
x amp: 15.111   | y amp: 63.218   | z amp: 134.699  
x amp: 13.753   | y amp: 74.037   | z amp: 158.224  
x amp: 17.409   | y amp: 73.640   | z amp: 159.743  
x amp: 11.681   | y amp: 85.784   | z amp: 157.228  
x amp: 16.657   | y amp: 66.754   | z amp: 159.868  
x amp: 15.263   | y amp: 74.198   | z amp: 160.066  
x amp: 12.374   | y amp: 72.256   | z amp: 159.526  
x amp: 12.572   | y amp: 71.530   | z amp: 158.083  
x amp: 30.594   | y amp: 79.841   | z amp: 151.661  
x amp: 12.944   | y amp: 69.953   | z amp: 159.468  
x amp: 14.495   | y amp: 72.288   | z amp: 158.278  
x amp: 17.729   | y amp: 69.341   | z amp: 143.057  
x amp: 17.655   | y amp: 71.824   | z amp: 160.160  
x amp: 12.328   | y amp: 70.201   | z amp: 160.564  
x amp: 14.163   | y amp: 69.496   | z amp: 160.509  
x amp: 12.867   | y amp: 73.232   | z amp: 158.012  
x amp: 4.278    | y amp: 66.930   | z amp: 163.567  
x amp: 15.852   | y amp: 55.029   | z amp: 146.086  
x amp: 11.314   | y amp: 72.082   | z amp: 158.604  
x amp: 15.555   | y amp: 68.895   | z amp: 155.223  
x amp: 12.076   | y amp: 61.498   | z amp: 161.076  
x amp: 12.244   | y amp: 70.075   | z amp: 159.171  
x amp: 14.558   | y amp: 73.758   | z amp: 160.285  
x amp: 23.029   | y amp: 67.136   | z amp: 159.386  
x amp: 20.611   | y amp: 46.358   | z amp: 152.534  
x amp: 12.893   | y amp: 67.785   | z amp: 160.174  
x amp: 13.091   | y amp: 75.863   | z amp: 160.549  
x amp: 24.086   | y amp: 70.384   | z amp: 157.442  
x amp: 15.181   | y amp: 72.601   | z amp: 160.916  
x amp: 12.860   | y amp: 78.552   | z amp: 158.000  
x amp: 11.038   | y amp: 71.228   | z amp: 158.514  
x amp: 17.550   | y amp: 73.067   | z amp: 158.959  
x amp: 12.968   | y amp: 53.917   | z amp: 155.345  
x amp: 8.046    | y amp: 73.027   | z amp: 158.141  
x amp: 11.877   | y amp: 72.976   | z amp: 159.355  
x amp: 27.542   | y amp: 77.132   | z amp: 157.554  
x amp: 13.034   | y amp: 69.933   | z amp: 160.364  
x amp: 13.707   | y amp: 73.647   | z amp: 160.081  
x amp: 14.927   | y amp: 80.192   | z amp: 158.782  
x amp: 32.108   | y amp: 87.656   | z amp: 155.291  
x amp: 15.118   | y amp: 79.854   | z amp: 159.589  
x amp: 18.326   | y amp: 68.165   | z amp: 158.146  
x amp: 13.560   | y amp: 71.245   | z amp: 158.511  
x amp: 14.833   | y amp: 71.987   | z amp: 157.939  
x amp: 30.275   | y amp: 74.995   | z amp: 146.430  
x amp: 13.300   | y amp: 73.761   | z amp: 158.619  
x amp: 11.905   | y amp: 70.240   | z amp: 160.042  
x amp: 15.508   | y amp: 71.882   | z amp: 159.509  
x amp: 16.906   | y amp: 65.597   | z amp: 157.255  
x amp: 13.684   | y amp: 67.596   | z amp: 160.194  
x amp: 11.565   | y amp: 75.016   | z amp: 160.210  
x amp: 16.297   | y amp: 78.869   | z amp: 157.855  
x amp: 10.806   | y amp: 73.008   | z amp: 158.230  
